;Unnamed: 0;Submitby Date Time;Tc Direct Project ID;Challenge Manager;Challenge Copilot;Posting Date Date;Track;Technology List;Duration;Num Valid Submissions;First Place Prize;Num Appeals;Num Checkpoint Submissions;Num Registrations;Num Submissions;Num Submissions Passed Review;Num Successful Appeals;Num Valid Checkpoint Submissions;Contest Prizes Total;Copilot Cost;Total Prize
689;690;2019-08-11 12:25:50;19942;AAAAAAAAAH;AAAAAAAABE;2019-08-06;Develop;API,Swagger;10759;2;US$800,00;0;0;44;2;2;0;0;US$1.884,00;US$500,00;US$1.200,00
690;691;2019-08-11 23:02:59;21925;AAAAAAAAAH;AAAAAAAABJ;2019-07-26;Data Science;Data Science;34400;14;US$4.000,00;0;0;102;14;14;0;0;US$11.820,00;US$1.000,00;US$7.500,00
692;693;2019-08-11 14:00:45;17563;AAAAAAAAAH;AAAAAAAAAL;2019-08-09;Develop;AWS,Elasticsearch,Node.js;5517;2;US$500,00;0;0;21;2;1;0;0;US$1.330,00;US$600,00;US$750,00
693;694;2019-08-11 19:59:02;23516;AAAAAAAAAH;AAAAAAAABB;2019-08-01;Data Science;Data Science;37574;17;US$1.100,00;0;0;70;17;6;0;0;US$5.800,00;US$600,00;US$3.500,00
694;695;2019-08-11 21:00:21;23377;AAAAAAAAAH;AAAAAAAAAY;2019-07-30;Design;0;21605;6;US$1.300,00;0;10;42;6;6;0;10;US$3.150,00;US$600,00;US$2.500,00
696;697;2019-08-09 05:04:44;21196;AAAAAAAAAH;AAAAAAAAAP;2019-08-05;Develop;Apache Kafka,Github,Microsoft Azure,MongoDB,Node.js,Other;9370;2;US$1.200,00;0;0;24;2;0;0;0;US$552,00;US$0,00;US$1.800,00
697;698;2019-08-09 13:19:12;22928;AAAAAAAAEU;AAAAAAAAAL;2019-08-02;Develop;HTML5,JavaScript,Other;12752;2;US$2.000,00;0;0;46;2;2;0;0;US$4.520,00;US$600,00;US$3.000,00
698;699;2019-08-09 19:08:24;23578;AAAAAAAAAH;AAAAAAAAAZ;2019-08-06;Design;0;9485;27;US$2.000,00;0;0;58;28;27;0;0;US$7.000,00;US$600,00;US$5.750,00
699;700;2019-08-09 05:04:19;21196;AAAAAAAAAH;AAAAAAAAAP;2019-08-05;Develop;Apache Kafka,Node.js,Other;10292;8;US$1.000,00;0;0;30;8;6;0;0;US$3.160,00;US$600,00;US$1.500,00
700;701;2019-08-09 16:26:54;21580;AAAAAAAAAH;AAAAAAAABV;2019-08-06;Develop;Angular 2+;4888;2;US$600,00;0;0;22;2;2;0;0;US$1.776,00;US$600,00;US$900,00
701;702;2019-08-08 00:35:41;21852;AAAAAAAAAH;AAAAAAAAAO;2019-08-03;Develop;Angular 2+;0;0;US$1.800,00;0;0;30;0;0;0;0;US$0,00;US$0,00;US$2.700,00
702;703;2019-08-07 02:22:43;19910;AAAAAAAAAH;AAAAAAAAAD;2019-08-01;Develop;ASP.NET Web API,SQL Server;0;0;US$1.000,00;0;0;31;0;0;0;0;US$0,00;US$0,00;US$1.500,00
703;704;2019-08-07 17:37:10;23388;AAAAAAAAAH;AAAAAAAAAO;2019-08-03;Develop;Angular 2+;8135;2;US$1.500,00;0;0;37;2;1;0;0;US$2.790,00;US$600,00;US$2.200,00
704;705;2019-08-07 08:03:19;23408;AAAAAAAAEV;AAAAAAAAAS;2019-07-24;Design;0;29873;16;US$1.300,00;0;18;43;16;16;0;18;US$3.250,00;US$600,00;US$2.500,00
706;707;2019-08-06 20:06:21;23281;AAAAAAAAAH;AAAAAAAAAZ;2019-08-03;Develop;Angular 2+,HTML5,SCSS;0;0;US$1.200,00;0;0;18;0;0;0;0;US$0,00;US$0,00;US$1.800,00
707;708;2019-08-06 05:07:19;23150;AAAAAAAAAH;AAAAAAAAAO;2019-08-04;Develop;Other;3259;3;US$800,00;0;0;14;3;3;0;0;US$2.248,00;US$600,00;US$1.200,00
708;709;2019-08-06 08:26:35;22619;AAAAAAAAAH;AAAAAAAAAV;2019-08-01;Develop;MongoDB,Node.js;10100;4;US$1.000,00;0;0;39;4;4;0;0;US$2.760,00;US$600,00;US$1.500,00
709;710;2019-08-06 00:54:02;23262;AAAAAAAAEW;AAAAAAAAAH;2019-07-31;QA;Android;0;1;US$500,00;0;0;11;1;1;0;0;US$0,00;US$0,00;US$500,00
710;711;2019-08-06 17:59:56;23129;AAAAAAAAAH;AAAAAAAAAO;2019-08-04;Develop;Other;3963;2;US$800,00;0;0;20;2;1;0;0;US$1.768,00;US$600,00;US$1.200,00
711;712;2019-08-05 18:25:00;23262;AAAAAAAAEW;AAAAAAAAAH;2019-07-31;QA;Android;0;0;US$500,00;0;0;1;0;0;0;0;US$0,00;US$0,00;US$500,00
712;713;2019-08-05 07:43:34;22515;AAAAAAAAAH;AAAAAAAAAO;2019-08-03;Develop;Other;3532;2;US$800,00;0;0;15;2;2;0;0;US$2.168,00;US$600,00;US$1.200,00
713;714;2019-08-05 22:15:04;21043;AAAAAAAAAH;AAAAAAAAAP;2019-07-31;Develop;AWS,Elasticsearch,Node.js,Other;0;0;US$1.200,00;0;0;23;0;0;0;0;US$0,00;US$0,00;US$1.800,00
714;715;2019-08-05 12:10:51;22560;AAAAAAAAAH;AAAAAAAAAZ;2019-08-04;Develop;Angular 2+,HTML5,SCSS;2958;1;US$800,00;0;0;20;1;0;0;0;US$288,00;US$0,00;US$1.200,00
715;716;2019-08-05 14:36:17;21043;AAAAAAAAAH;AAAAAAAAAP;2019-07-30;Develop;AWS,Apache Kafka,Elasticsearch,Java,Node.js,Other;0;0;US$1.000,00;0;0;23;0;0;0;0;US$0,00;US$0,00;US$1.500,00
716;717;2019-08-05 02:55:52;21580;AAAAAAAAAH;AAAAAAAABV;2019-07-31;Develop;Angular 2+,SCSS;7723;2;US$1.200,00;0;0;30;2;1;0;0;US$2.352,00;US$600,00;US$1.800,00
717;718;2019-08-05 10:28:21;22908;AAAAAAAAAH;AAAAAAAAAW;2019-07-31;Develop;Apache Kafka,Docker,PostgreSQL;10067;1;US$800,00;0;0;21;1;1;0;0;US$1.688,00;US$600,00;US$1.200,00
718;719;2019-08-05 09:14:39;17159;AAAAAAAAAH;AAAAAAAAAE;2019-07-31;Develop;Node.js;10355;2;US$1.100,00;0;0;22;2;2;0;0;US$2.756,00;US$600,00;US$1.650,00
719;720;2019-08-05 06:01:43;22528;AAAAAAAAAH;AAAAAAAABH;2019-07-31;Develop;ReactJS,SCSS;10609;3;US$900,00;0;0;30;3;3;0;0;US$2.454,00;US$600,00;US$1.350,00
720;721;2019-08-05 14:32:40;23262;AAAAAAAAEW;AAAAAAAABQ;2019-07-31;QA;Android;0;0;US$500,00;0;0;11;0;0;0;0;US$0,00;US$0,00;US$500,00
721;722;2019-08-05 23:06:17;23173;AAAAAAAAAH;AAAAAAAABJ;2019-07-26;Data Science;Data Science;19922;3;US$3.000,00;0;0;69;3;3;0;0;US$6.940,00;US$600,00;US$6.000,00
722;723;2019-08-04 01:15:00;23455;AAAAAAAAAH;AAAAAAAABN;2019-07-30;Develop;Java,Maven;0;1;US$600,00;0;0;30;1;1;0;0;US$0,00;US$0,00;US$1.050,00
723;724;2019-08-04 08:03:45;23405;AAAAAAAAAH;AAAAAAAABC;2019-07-24;Design;0;19773;9;US$1.700,00;0;21;45;9;9;0;21;US$3.900,00;US$600,00;US$3.250,00
724;725;2019-08-04 19:56:39;21940;AAAAAAAAAH;AAAAAAAABS;2019-07-25;Data Science;Data Science,Python;16143;3;US$2.400,00;0;0;58;3;1;0;0;US$3.792,00;US$600,00;US$3.600,00
725;726;2019-08-04 03:19:20;23150;AAAAAAAAAH;AAAAAAAAAO;2019-07-31;Develop;Other;6207;2;US$500,00;0;0;20;2;2;0;0;US$1.580,00;US$600,00;US$750,00
726;727;2019-08-04 13:08:37;23455;AAAAAAAAAH;AAAAAAAAAL;2019-08-02;Develop;Node.js,S3;6559;5;US$700,00;0;0;23;5;3;0;0;US$2.182,00;US$600,00;US$1.050,00
727;728;2019-08-04 11:06:42;22928;AAAAAAAAEU;AAAAAAAAAL;2019-08-02;Develop;Node.js;5189;1;US$600,00;0;0;19;1;1;0;0;US$1.416,00;US$600,00;US$900,00
728;729;2019-08-03 10:00:00;22826;AAAAAAAAAH;AAAAAAAAAL;2019-08-01;Develop;JavaScript,Node.js;5494;8;US$500,00;0;0;24;8;6;0;0;US$1.880,00;US$600,00;US$750,00
729;730;2019-08-03 10:47:39;17170;AAAAAAAAAH;AAAAAAAAAO;2019-07-31;Develop;Other;6932;3;US$600,00;0;0;24;3;2;0;0;US$1.836,00;US$600,00;US$900,00
730;731;2019-08-03 17:17:11;22346;AAAAAAAAAH;AAAAAAAAAZ;2019-07-31;Develop;Angular 2+,HTML5,SCSS;5185;1;US$400,00;0;0;14;1;1;0;0;US$1.144,00;US$600,00;US$600,00
731;732;2019-08-03 00:36:24;22093;AAAAAAAAAH;AAAAAAAAAD;2019-07-26;Develop;ASP.NET Core ,ASP.NET Web API,MySQL;0;0;US$1.200,00;0;0;19;0;0;0;0;US$0,00;US$0,00;US$1.800,00
732;733;2019-08-03 00:15:29;17234;AAAAAAAAAH;AAAAAAAABC;2019-08-02;Design;0;15530;6;US$100,00;0;0;8;6;6;0;0;US$150,00;US$0,00;US$150,00
733;734;2019-08-03 00:29:20;22695;AAAAAAAAAH;AAAAAAAABP;2019-07-30;QA;QA;7789;12;US$400,00;0;0;44;12;11;0;0;US$1.877,00;US$600,00;US$700,00
734;735;2019-08-03 03:05:20;17234;AAAAAAAAAH;AAAAAAAAAP;2019-08-02;Develop;Other;413;6;US$400,00;0;0;23;6;6;0;0;US$1.272,00;US$600,00;US$500,00
735;736;2019-08-03 02:59:43;17234;AAAAAAAABC;AAAAAAAAAH;2019-08-03;Design;0;15412;3;US$200,00;0;0;3;3;3;0;0;US$350,00;US$0,00;US$350,00
736;737;2019-08-03 03:25:11;23129;AAAAAAAAAH;AAAAAAAAAO;2019-07-31;Develop;Angular 2+;5124;3;US$500,00;0;0;24;3;2;0;0;US$1.630,00;US$600,00;US$750,00
737;738;2019-08-03 21:00:37;21580;AAAAAAAAAH;AAAAAAAABV;2019-07-30;Develop;Angular 2+;7261;2;US$1.200,00;0;0;27;2;2;0;0;US$3.552,00;US$1.200,00;US$1.800,00
738;739;2019-08-02 10:00:00;23086;AAAAAAAAEX;AAAAAAAAAH;2019-08-01;QA;Other;0;0;US$100,00;0;0;0;0;0;0;0;US$0,00;US$0,00;US$150,00
739;740;2019-08-02 14:24:51;22506;AAAAAAAAAH;AAAAAAAABR;2019-07-26;Develop;Angular 2+,HTML5,SCSS;12775;1;US$1.800,00;0;0;42;1;1;0;0;US$3.048,00;US$600,00;US$2.700,00
740;741;2019-08-02 13:32:01;23377;AAAAAAAAAH;AAAAAAAAAY;2019-07-25;Design;0;17122;6;US$1.700,00;0;10;44;7;6;0;9;US$3.900,00;US$600,00;US$3.250,00
741;742;2019-08-02 10:00:00;23086;AAAAAAAAEX;AAAAAAAAAH;2019-08-01;QA;Other;0;0;US$0,00;0;0;0;0;0;0;0;US$0,00;US$0,00;US$0,00
742;743;2019-08-02 10:00:00;23086;AAAAAAAAEX;AAAAAAAAAH;2019-08-01;QA;Other;0;0;US$100,00;0;0;0;0;0;0;0;US$0,00;US$0,00;US$150,00
743;744;2019-08-02 12:59:00;23257;AAAAAAAAEJ;AAAAAAAAAH;2019-07-08;Develop;QlikView;0;1;US$350,00;0;0;10;1;1;0;0;US$0,00;US$0,00;US$500,00
744;745;2019-08-01 01:55:22;23172;AAAAAAAAEY;AAAAAAAAAV;2019-07-25;Develop;Node.js;11760;2;US$900,00;0;0;50;2;1;0;0;US$1.914,00;US$600,00;US$1.350,00
745;746;2019-08-01 00:37:34;20205;AAAAAAAAAH;AAAAAAAABD;2019-07-29;QA;QA;8997;29;US$567,35;0;0;59;29;9;0;0;US$8.469,70;US$1.200,00;US$3.532,55
746;747;2019-08-01 13:17:33;23371;AAAAAAAAAH;AAAAAAAAAV;2019-07-26;Develop;Angular 2+;9945;1;US$800,00;0;0;21;1;0;0;0;US$288,00;US$0,00;US$1.200,00
747;748;2019-08-01 08:01:30;23388;AAAAAAAAAH;AAAAAAAAAC;2019-07-18;Design;0;20400;6;US$1.700,00;0;14;49;6;6;0;14;US$3.925,00;US$625,00;US$3.250,00
748;749;2019-08-01 01:10:46;23040;AAAAAAAAAH;AAAAAAAAAW;2019-07-27;Develop;R;0;0;US$1.200,00;0;0;47;0;0;0;0;US$0,00;US$0,00;US$2.400,00
749;750;2019-08-01 05:12:21;21580;AAAAAAAAAH;AAAAAAAABV;2019-07-29;Develop;Angular 2+;5125;3;US$800,00;0;0;17;3;2;0;0;US$2.448,00;US$800,00;US$1.200,00
750;751;2019-08-01 14:08:22;23293;AAAAAAAAAH;AAAAAAAAAA;2019-07-26;Develop;Angular 2+,CSS,HTML5,JavaScript;10789;1;US$1.200,00;0;0;20;1;1;0;0;US$2.016,00;US$600,00;US$1.800,00
752;753;2019-07-31 13:15:27;23293;AAAAAAAAAH;AAAAAAAAAA;2019-07-23;Develop;Angular 2+,HTML5,JavaScript;15110;1;US$1.600,00;0;0;34;1;1;0;0;US$2.488,00;US$600,00;US$2.400,00
753;754;2019-07-31 12:51:07;23211;AAAAAAAAAH;AAAAAAAABK;2019-07-26;Develop;Angular 2+,Node.js,Other,TypeScript;12951;2;US$1.200,00;0;0;19;2;2;0;0;US$2.676,00;US$600,00;US$1.800,00
754;755;2019-07-31 10:36:37;22560;AAAAAAAAAH;AAAAAAAAAZ;2019-07-29;Develop;Angular 2+,HTML5,SCSS;3493;3;US$500,00;0;0;19;3;2;0;0;US$1.630,00;US$600,00;US$750,00
755;756;2019-07-31 11:06:34;23132;AAAAAAAAAH;AAAAAAAAAA;2019-07-26;Develop;Docker,Java,MySQL,Spring;10801;3;US$1.000,00;0;0;21;3;3;0;0;US$2.660,00;US$600,00;US$1.500,00
756;757;2019-07-31 20:14:57;19910;AAAAAAAAAH;AAAAAAAAAD;2019-07-26;Develop;ASP.NET Web API,SQL Server;0;0;US$1.000,00;0;0;21;0;0;0;0;US$0,00;US$0,00;US$1.500,00
757;758;2019-07-30 23:31:17;22217;AAAAAAAAEG;AAAAAAAAAH;2019-07-21;Data Science;Data Science,MySQL,Python;21558;21;US$6.150,00;0;0;77;21;21;0;0;US$5.735,00;US$0,00;US$6.150,00
758;759;2019-07-30 14:47:51;23448;AAAAAAAAAH;AAAAAAAAAO;2019-07-27;Develop;Angular 2+;7231;1;US$1.000,00;0;0;41;1;1;0;0;US$1.960,00;US$600,00;US$1.500,00
759;760;2019-07-30 01:45:53;23172;AAAAAAAAAH;AAAAAAAAAV;2019-07-25;Develop;Angular 2+;9906;1;US$1.500,00;0;0;46;1;1;0;0;US$2.640,00;US$600,00;US$2.250,00
760;761;2019-07-30 00:44:12;21815;AAAAAAAAAH;AAAAAAAABV;2019-07-25;Develop;Sharepoint 3.0;7383;1;US$1.100,00;0;0;10;1;1;0;0;US$2.096,00;US$600,00;US$1.500,00
761;762;2019-07-30 00:12:22;22515;AAAAAAAAAH;AAAAAAAAAZ;2019-07-27;Develop;Angular 2+,HTML5,SCSS;4475;1;US$500,00;0;0;23;1;1;0;0;US$1.280,00;US$600,00;US$750,00
762;763;2019-07-29 00:12:26;22433;AAAAAAAAAH;AAAAAAAAAO;2019-07-26;Develop;Angular 2+;0;0;US$1.500,00;0;0;26;0;0;0;0;US$0,00;US$0,00;US$2.250,00
763;764;2019-07-29 02:01:03;22617;AAAAAAAAAH;AAAAAAAAAY;2019-07-10;Design;0;37292;10;US$1.700,00;0;30;51;10;10;0;30;US$3.900,00;US$600,00;US$3.250,00
765;766;2019-07-29 13:21:29;20868;AAAAAAAAAH;AAAAAAAAAA;2019-07-22;Develop;CSS,HTML5,JavaScript,ReactJS;12944;2;US$1.400,00;0;0;40;2;1;0;0;US$2.644,00;US$600,00;US$2.100,00
766;767;2019-07-29 02:00:00;23253;AAAAAAAAAH;AAAAAAAABN;2019-07-24;Develop;JavaScript,Node.js,ReactJS;0;0;US$800,00;0;0;23;0;0;0;0;US$0,00;US$0,00;US$1.200,00
768;769;2019-07-29 23:21:26;19942;AAAAAAAAAH;AAAAAAAABE;2019-07-26;QA;Angular 2+,CSS,HTML5,JavaScript,Node.js,QA,TypeScript;5767;6;US$400,00;0;0;36;6;6;0;0;US$1.406,00;US$300,00;US$754,00
769;770;2019-07-29 13:20:29;22217;AAAAAAAADV;AAAAAAAABJ;2019-06-27;Data Science;0;16260;99;US$7.000,00;0;0;12;99;99;0;0;US$17.000,00;US$0,00;US$17.000,00
770;771;2019-07-28 11:09:00;21816;AAAAAAAAAH;AAAAAAAAAP;2019-07-23;Develop;AWS,Node.js,Other,Swagger;10085;3;US$1.000,00;0;0;22;3;2;0;0;US$2.660,00;US$600,00;US$1.500,00
771;772;2019-07-28 10:17:56;20693;AAAAAAAADX;AAAAAAAABT;2019-07-12;Data Science;Data Science,Python;0;8;US$2.500,00;0;0;116;8;8;0;0;US$0,00;US$0,00;US$5.050,00
772;773;2019-07-28 00:42:03;20205;AAAAAAAAAH;AAAAAAAABD;2019-07-26;QA;QA;5848;14;US$900,00;0;0;33;14;9;0;0;US$5.984,00;US$1.200,00;US$2.400,00
773;774;2019-07-28 16:50:38;23012;AAAAAAAAAH;AAAAAAAABJ;2019-07-16;Data Science;Data Science;31546;4;US$3.000,00;0;0;66;4;4;0;0;US$7.590,00;US$600,00;US$6.500,00
774;775;2019-07-27 09:08:50;17159;AAAAAAAAAH;AAAAAAAAAP;2019-07-23;Develop;API,Node.js,Other;8576;4;US$600,00;0;0;18;4;4;0;0;US$1.896,00;US$600,00;US$900,00
775;776;2019-07-27 12:54:33;22784;AAAAAAAAAH;AAAAAAAABK;2019-07-22;Develop;API,Git,Node.js,Other,TypeScript;10032;2;US$800,00;0;0;13;2;1;0;0;US$1.768,00;US$600,00;US$1.200,00
776;777;2019-07-26 08:47:00;22784;AAAAAAAAAH;AAAAAAAABK;2019-07-07;Develop;API,Github,Node.js,TypeScript;0;0;US$1.000,00;0;0;0;0;0;0;0;US$0,00;US$0,00;US$1.500,00
777;778;2019-07-26 03:01:03;23380;AAAAAAAAAH;AAAAAAAAAW;2019-07-19;Develop;Apex;11421;14;US$300,00;0;0;40;14;12;0;0;US$1.899,00;US$600,00;US$1.050,00
778;779;2019-07-26 17:57:40;21580;AAAAAAAAAH;AAAAAAAABV;2019-07-22;Develop;Angular 2+;7309;4;US$600,00;0;0;28;4;2;0;0;US$1.896,00;US$600,00;US$1.050,00
779;780;2019-07-26 09:13:39;22614;AAAAAAAAEZ;AAAAAAAAAH;2019-07-03;Develop;Other;37186;1;US$150,00;0;0;11;1;1;0;0;US$170,52;US$0,00;US$150,00
780;781;2019-07-26 00:06:33;22719;AAAAAAAAAH;AAAAAAAABV;2019-07-24;Develop;Angular 2+;2556;1;US$600,00;0;0;21;1;1;0;0;US$1.416,00;US$600,00;US$900,00
781;782;2019-07-26 14:10:32;23448;AAAAAAAAAH;AAAAAAAAAO;2019-07-24;Develop;Java;3879;4;US$900,00;0;0;25;4;3;0;0;US$2.594,00;US$600,00;US$1.400,00
782;783;2019-07-26 06:06:14;22784;AAAAAAAAAH;AAAAAAAABK;2019-07-22;Develop;API,Github,Node.js,TypeScript;8187;2;US$800,00;0;0;18;2;1;0;0;US$1.768,00;US$600,00;US$1.200,00
783;784;2019-07-26 10:54:52;21043;AAAAAAAAAH;AAAAAAAAAP;2019-07-23;Develop;AWS,Apache Kafka,Elasticsearch,Node.js;6088;4;US$400,00;0;0;16;4;4;0;0;US$897,40;US$40,00;US$600,00
784;785;2019-07-26 23:33:58;23448;AAAAAAAAAO;AAAAAAAAAO;2019-07-23;Develop;Python;5936;3;US$900,00;0;0;45;3;2;0;0;US$2.454,00;US$600,00;US$1.350,00
785;786;2019-07-25 04:18:31;22826;AAAAAAAAAH;AAAAAAAAAL;2019-07-22;Develop;JavaScript,Node.js,Other;7821;8;US$800,00;0;0;26;8;6;0;0;US$2.648,00;US$600,00;US$1.200,00
786;787;2019-07-25 23:09:15;21920;AAAAAAAADZ;AAAAAAAAAH;2019-06-26;Develop;Other;50304;1;US$150,00;0;0;25;1;1;0;0;US$180,00;US$0,00;US$150,00
787;788;2019-07-25 23:05:03;21920;AAAAAAAADZ;AAAAAAAAAH;2019-06-26;Develop;Other;50582;1;US$150,00;0;0;9;1;1;0;0;US$180,00;US$0,00;US$150,00
788;789;2019-07-25 05:53:44;21920;AAAAAAAADZ;AAAAAAAAAH;2019-06-26;Develop;Other;50596;1;US$150,00;0;0;8;1;1;0;0;US$180,00;US$0,00;US$150,00
789;790;2019-07-25 23:05:32;21920;AAAAAAAADZ;AAAAAAAAAH;2019-06-26;Develop;Other;50590;1;US$150,00;0;0;12;1;1;0;0;US$180,00;US$0,00;US$150,00
790;791;2019-07-25 12:39:56;22559;AAAAAAAAAH;AAAAAAAAAO;2019-07-24;Develop;Other;3172;2;US$300,00;0;0;21;2;1;0;0;US$1.040,00;US$600,00;US$450,00
791;792;2019-07-25 20:04:41;22619;AAAAAAAAAH;AAAAAAAAAC;2019-06-28;Design;0;45197;11;US$1.300,00;0;15;31;11;11;0;15;US$3.050,00;US$600,00;US$2.500,00
792;793;2019-07-25 23:04:38;21920;AAAAAAAADZ;AAAAAAAAAH;2019-06-26;Develop;Other;50589;1;US$150,00;0;0;8;1;1;0;0;US$180,00;US$0,00;US$150,00
793;794;2019-07-25 23:57:53;23293;AAAAAAAAAH;AAAAAAAAAA;2019-07-19;Develop;Angular 2+,HTML,JavaScript;9625;1;US$1.200,00;0;0;32;1;1;0;0;US$2.016,00;US$600,00;US$1.800,00
794;795;2019-07-25 15:01:39;12591;AAAAAAAAAH;AAAAAAAAAC;2019-07-16;Design;0;30346;9;US$1.000,00;0;13;41;9;9;0;11;US$2.150,00;US$300,00;US$1.800,00
795;796;2019-07-24 04:12:38;21580;AAAAAAAAAH;AAAAAAAABV;2019-07-22;Develop;Angular 2+;2485;4;US$600,00;0;0;14;4;3;0;0;US$1.896,00;US$600,00;US$900,00
796;797;2019-07-24 05:15:07;23150;AAAAAAAAAH;AAAAAAAAAO;2019-07-22;Develop;Java;3587;4;US$800,00;0;0;24;4;3;0;0;US$2.328,00;US$600,00;US$1.200,00
797;798;2019-07-24 16:14:46;22346;AAAAAAAAAH;AAAAAAAAAZ;2019-07-22;Develop;API,Angular 2+,Swagger;3595;4;US$1.200,00;0;0;23;4;2;0;0;US$3.192,00;US$600,00;US$1.800,00
798;799;2019-07-24 12:56:47;23280;AAAAAAAAAH;AAAAAAAAAA;2019-07-19;Develop;Java,MySQL,SQL Server;9869;2;US$1.200,00;0;0;21;2;2;0;0;US$2.952,00;US$600,00;US$1.800,00
799;800;2019-07-24 13:34:32;22241;AAAAAAAAAH;AAAAAAAABK;2019-07-16;Develop;C,C++,Fortran,Python;15060;18;US$250,00;0;0;76;18;17;0;0;US$1.307,50;US$600,00;US$450,00
801;802;2019-07-23 01:39:32;23262;AAAAAAAAAX;AAAAAAAAAX;2019-07-16;QA;QA;0;21;US$600,00;0;0;68;21;21;0;0;US$0,00;US$0,00;US$1.100,00
803;804;2019-07-23 23:18:21;22528;AAAAAAAAAH;AAAAAAAABH;2019-07-18;Develop;Node.js,PostgreSQL;11586;3;US$1.000,00;0;0;23;3;2;0;0;US$2.660,00;US$600,00;US$1.500,00
804;805;2019-07-23 16:20:00;22560;AAAAAAAAAH;AAAAAAAABN;2019-07-21;Develop;JUnit,Java,MongoDB,Spring;0;0;US$800,00;0;0;0;0;0;0;0;US$0,00;US$0,00;US$1.200,00
805;806;2019-07-23 23:18:57;22528;AAAAAAAAAH;AAAAAAAABH;2019-07-18;Develop;Node.js,PostgreSQL;10192;2;US$1.000,00;0;0;21;2;2;0;0;US$2.560,00;US$600,00;US$1.500,00
806;807;2019-07-23 20:25:16;23129;AAAAAAAAAH;AAAAAAAAAO;2019-07-21;Develop;Java;3541;5;US$800,00;0;0;23;5;4;0;0;US$2.408,00;US$600,00;US$1.200,00
807;808;2019-07-22 11:48:08;22130;AAAAAAAAAH;AAAAAAAABK;2019-07-17;Develop;.NET,C#,Xamarin;8396;1;US$1,00;0;0;22;1;1;0;0;US$601,18;US$600,00;US$1,00
808;809;2019-07-22 22:07:20;23281;AAAAAAAAAH;AAAAAAAAAO;2019-07-19;Develop;Matlab,Python;5737;1;US$1.000,00;0;0;32;1;1;0;0;US$1.960,00;US$600,00;US$1.500,00
809;810;2019-07-22 17:06:22;22515;AAAAAAAAAH;AAAAAAAABN;2019-07-20;Develop;JUnit,Java,MongoDB,Spring;5169;5;US$800,00;0;0;23;5;4;0;0;US$2.408,00;US$600,00;US$1.200,00
810;811;2019-07-22 09:06:21;23129;AAAAAAAAAH;AAAAAAAAAO;2019-07-21;Develop;Python;3026;6;US$300,00;0;0;20;6;6;0;0;US$1.308,00;US$600,00;US$450,00
811;812;2019-07-22 13:42:47;22161;AAAAAAAAAH;AAAAAAAABV;2019-07-20;Develop;Angular 2+,REST;4198;5;US$600,00;0;0;26;5;3;0;0;US$1.956,00;US$600,00;US$900,00
812;813;2019-07-22 18:17:00;22560;AAAAAAAAAH;AAAAAAAABN;2019-07-20;Develop;JUnit,Java,MongoDB,Spring;0;0;US$800,00;0;0;14;0;0;0;0;US$0,00;US$0,00;US$1.200,00
813;814;2019-07-22 02:52:52;23300;AAAAAAAAAH;AAAAAAAAAC;2019-07-11;Design;0;27136;10;US$1.300,00;0;14;46;10;10;0;13;US$3.290,00;US$640,00;US$2.500,00
814;815;2019-07-21 06:02:17;22005;AAAAAAAAAH;AAAAAAAAAV;2019-07-14;Develop;Java,MySQL;11781;1;US$1.400,00;0;0;28;1;1;0;0;US$2.252,00;US$600,00;US$1.900,00
815;816;2019-07-21 09:20:11;22517;AAAAAAAAAH;AAAAAAAAAE;2019-07-16;Develop;C++;0;0;US$2.000,00;0;0;25;0;0;0;0;US$0,00;US$0,00;US$3.000,00
816;817;2019-07-21 19:11:25;17159;AAAAAAAAAH;AAAAAAAAAE;2019-07-16;Develop;Node.js;10454;2;US$1.100,00;0;0;20;2;2;0;0;US$2.756,00;US$600,00;US$1.650,00
817;818;2019-07-21 00:45:26;17234;AAAAAAAAAK;AAAAAAAAAK;2019-07-20;Design;0;1230;7;US$300,00;0;0;6;7;7;0;0;US$1.250,00;US$800,00;US$450,00
818;819;2019-07-21 04:36:12;23172;AAAAAAAAEY;AAAAAAAAAV;2019-07-16;Develop;Node.js,PostgreSQL;9004;3;US$800,00;0;0;38;3;3;0;0;US$2.024,00;US$600,00;US$1.200,00
819;820;2019-07-21 12:38:00;20868;AAAAAAAAAH;AAAAAAAAAA;2019-07-16;Develop;CSS,HTML5,JavaScript,ReactJS;0;0;US$1.600,00;0;0;30;0;0;0;0;US$0,00;US$0,00;US$2.400,00
820;821;2019-07-21 09:04:37;17234;AAAAAAAAAH;AAAAAAAABM;2019-07-16;Develop;Node.js,ReactJS,SCSS;9396;3;US$700,00;0;0;18;3;2;0;0;US$1.992,00;US$600,00;US$1.000,00
822;823;2019-07-21 01:49:14;22928;AAAAAAAAEU;AAAAAAAAAL;2019-07-19;Develop;HTML,JavaScript;4388;4;US$300,00;0;0;40;4;3;0;0;US$1.398,00;US$600,00;US$600,00
823;824;2019-07-21 19:00:21;21580;AAAAAAAAAH;AAAAAAAABV;2019-07-15;Develop;Angular 2+;9495;2;US$600,00;0;0;21;2;1;0;0;US$1.338,00;US$600,00;US$900,00
824;825;2019-07-21 20:48:49;22763;AAAAAAAAAH;AAAAAAAAAO;2019-07-18;Develop;Other;5591;4;US$700,00;0;0;25;4;3;0;0;US$2.112,00;US$600,00;US$1.050,00
